Family_ID,Father ID,Mother_ID,Child_ID_1,Child_ID_2,Child_ID_3,Child_ID_4,Child_ID_5,Child_ID_6,Child_ID_7,Child_ID_8,Child_ID_9,Child_ID_10
F257,I122603686139,I122603686003,I122603686186,,,,,,,,,
F258,I122595690503,I122595690473,I122595690453,I122595690570,,,,,,,,
F259,I122594739167,I122603669757,I122594739383,I122603669693,,,,,,,,
F260,I122594265203,I122594265330,I122616567806,I122604739445,I122594265171,I122605097111,,,,,,
F261,I122605095080,I122605094943,,,,,,,,,,
F262,I122620563388,I122620563379,I122596875191,I122596492182,,,,,,,,
F263,I122602653897,I122602653911,I122602653843,I122602654124,,,,,,,,
F264,I122594723909,I122594723931,I122594723889,,,,,,,,,
F265,I122594265155,I122594265052,,,,,,,,,,
F266,I122606028814,I122606028942,I122606029021,,,,,,,,,
F267,I122594265171,I122594265176,I122594265155,,,,,,,,,
F268,I122596132904,I122596132994,,,,,,,,,,
F269,I122616582112,I122616581985,I122616582202,,,,,,,,,
F270,I122594725026,I122596706354,I122596706292,,,,,,,,,
F271,I122596493099,I122596493360,I122596493435,,,,,,,,,
F272,I122597050567,I122597050588,I122597050541,,,,,,,,,
F273,I122594592929,I122594592939,I122594592988,I122594656884,,,,,,,,
F274,I122594724000,I122594724012,I122594723931,,,,,,,,,
F275,I122606209005,I122606209149,,,,,,,,,,
F276,I122593937574,I122593937596,I122593937551,I122593937611,,,,,,,,
F277,I122603374635,I122603374711,I122594844639,,,,,,,,,
F278,I122604570644,I122604570717,,,,,,,,,,
F279,I122616254359,I122616254451,I122616254465,,,,,,,,,
F280,I122596133042,I122596133059,I122596133013,I122606032308,I122596662837,I122609074652,I122596133278,,,,,
F281,I122608275630,I122608275329,I122608275996,,,,,,,,,
F282,I122600376315,I122600376330,I122603669338,I122600376426,I122600376259,,,,,,,
F283,I122609504155,I122609490728,,,,,,,,,,
F284,I122609504155,I122609577577,,,,,,,,,,
F285,I122602653709,I122602653810,,,,,,,,,,
